SucursalID,Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
S141,Leche Palmolive 140,5510748788,Limpieza,2026-07-22,Palmolive,162.33,378
S142,Arroz Del Monte 141,0196212385,Cuidado Personal,2028-11-11,Del Monte,56.00,403
S143,Frijol Maggi 142,3939904322,Aceites,2028-12-21,Maggi,200.03,381
S144,Pan Kelloggs 143,2031933995,Condimentos,2027-10-22,Kelloggs,121.13,461
S145,Jugo Pringles 144,9521567151,Endulzantes,2028-09-27,Pringles,148.51,44
S146,Jabon Coca Cola 145,7387124121,Frutas,2028-03-25,Coca Cola,82.81,58
S147,Shampoo Pepsi 146,8674326516,Verduras,2027-07-25,Pepsi,199.03,231
S148,Aceite Lay's 147,4181653234,Congelados,2026-10-10,Lay's,26.42,9
S149,Azucar Knorr 148,2885137098,Snacks,2028-10-23,Knorr,195.80,398
S150,Sal McCormick 149,7718098473,Cereales,2026-05-18,McCormick,29.39,259
S151,Cafe Dos Pinos 150,1677152662,Lacteos,2027-11-12,Dos Pinos,22.58,21
S152,Cereal Bimbo 151,1523499649,Granos,2028-05-21,Bimbo,37.40,31
S153,Atun Nestle 152,0830798141,Bebidas,2026-04-06,Nestle,5.23,334
S154,Sardina Colgate 153,1820077850,Panaderia,2028-06-26,Colgate,117.63,193
S155,Mayonesa Ariel 154,4003655979,Carnes,2027-04-05,Ariel,85.73,381
S156,Ketchup Palmolive 155,7954709476,Limpieza,2026-09-05,Palmolive,17.30,365
S157,Mostaza Del Monte 156,8016691202,Cuidado Personal,2026-02-15,Del Monte,184.63,223
S158,Vinagre Maggi 157,6996380838,Aceites,2026-05-04,Maggi,88.93,268
S159,Sopa Kelloggs 158,5008691367,Condimentos,2028-12-07,Kelloggs,54.29,205
S160,Pasta Pringles 159,4191836366,Endulzantes,2027-01-20,Pringles,89.81,465
S161,Leche Coca Cola 160,0931149634,Frutas,2026-07-12,Coca Cola,55.79,279
S162,Arroz Pepsi 161,6637823711,Verduras,2026-02-25,Pepsi,78.94,21
S163,Frijol Lay's 162,2737553783,Congelados,2026-02-17,Lay's,92.54,147
S164,Pan Knorr 163,4192432373,Snacks,2026-03-14,Knorr,140.72,278
S165,Jugo McCormick 164,0798682407,Cereales,2028-07-08,McCormick,200.92,87
S166,Jabon Dos Pinos 165,8089133904,Lacteos,2026-11-23,Dos Pinos,194.70,419
S167,Shampoo Bimbo 166,5183319980,Granos,2028-10-18,Bimbo,177.19,45
S168,Aceite Nestle 167,8914152589,Bebidas,2027-10-22,Nestle,72.71,326
S169,Azucar Colgate 168,7990785976,Panaderia,2028-06-23,Colgate,48.19,236
S170,Sal Ariel 169,0774182787,Carnes,2028-02-27,Ariel,144.09,78
S171,Cafe Palmolive 170,7601742864,Limpieza,2027-01-24,Palmolive,55.20,430
S172,Cereal Del Monte 171,3713532227,Cuidado Personal,2026-11-15,Del Monte,186.15,282
S173,Atun Maggi 172,7310428254,Aceites,2027-08-07,Maggi,77.16,42
S174,Sardina Kelloggs 173,5049753919,Condimentos,2028-11-07,Kelloggs,108.41,473
S175,Mayonesa Pringles 174,6818472778,Endulzantes,2026-02-18,Pringles,90.72,152
S176,Ketchup Coca Cola 175,2793479485,Frutas,2028-12-17,Coca Cola,35.89,221
S177,Mostaza Pepsi 176,7129434319,Verduras,2028-04-04,Pepsi,193.45,64
S178,Vinagre Lay's 177,8085833066,Congelados,2027-04-18,Lay's,54.74,184
S179,Sopa Knorr 178,2521518518,Snacks,2027-09-26,Knorr,26.61,87
S180,Pasta McCormick 179,4675957554,Cereales,2028-09-11,McCormick,162.38,409
S181,Leche Dos Pinos 180,7856703612,Lacteos,2028-02-20,Dos Pinos,70.02,146
S182,Arroz Bimbo 181,3001804771,Granos,2028-04-17,Bimbo,96.81,170
S183,Frijol Nestle 182,3771406371,Bebidas,2027-04-04,Nestle,7.40,105
S184,Pan Colgate 183,6766782478,Panaderia,2026-04-28,Colgate,198.40,480
S185,Jugo Ariel 184,9912732826,Carnes,2028-06-07,Ariel,79.33,282
S186,Jabon Palmolive 185,1842453378,Limpieza,2028-06-12,Palmolive,86.46,360
S187,Shampoo Del Monte 186,2488697067,Cuidado Personal,2027-08-14,Del Monte,29.27,324
S188,Aceite Maggi 187,2047841910,Aceites,2026-11-22,Maggi,139.76,172
S189,Azucar Kelloggs 188,2643575522,Condimentos,2028-04-10,Kelloggs,100.96,396
S190,Sal Pringles 189,5919055189,Endulzantes,2028-04-17,Pringles,115.29,239
S191,Cafe Coca Cola 190,3432636008,Frutas,2026-04-14,Coca Cola,112.81,13
S192,Cereal Pepsi 191,2853281364,Verduras,2026-05-17,Pepsi,96.47,494
S193,Atun Lay's 192,3732143789,Congelados,2027-07-28,Lay's,109.30,420
S194,Sardina Knorr 193,7928313322,Snacks,2027-11-23,Knorr,92.09,474
S195,Mayonesa McCormick 194,1401124916,Cereales,2026-11-14,McCormick,36.07,340
S196,Ketchup Dos Pinos 195,6507297752,Lacteos,2027-06-11,Dos Pinos,150.33,389
S197,Mostaza Bimbo 196,7880311853,Granos,2026-01-26,Bimbo,97.19,83
S198,Vinagre Nestle 197,7890673950,Bebidas,2026-10-27,Nestle,134.68,208
S199,Sopa Colgate 198,9146187794,Panaderia,2026-04-05,Colgate,88.10,302
S200,Pasta Ariel 199,1164989277,Carnes,2028-07-24,Ariel,52.04,474
S201,Leche Palmolive 200,3827677890,Limpieza,2026-03-01,Palmolive,135.00,111
S202,Arroz Del Monte 201,0958473183,Cuidado Personal,2028-04-03,Del Monte,60.66,424
S203,Frijol Maggi 202,5446690101,Aceites,2026-06-07,Maggi,196.87,85
S204,Pan Kelloggs 203,1264688284,Condimentos,2027-07-25,Kelloggs,107.92,95
S205,Jugo Pringles 204,6108436605,Endulzantes,2027-09-16,Pringles,72.13,499
S206,Jabon Coca Cola 205,4836992679,Frutas,2027-12-09,Coca Cola,131.79,208
S207,Shampoo Pepsi 206,1882972219,Verduras,2027-08-04,Pepsi,16.26,492
S208,Aceite Lay's 207,2325765623,Congelados,2027-01-23,Lay's,168.38,23
S209,Azucar Knorr 208,7061998796,Snacks,2027-10-23,Knorr,50.51,42
S210,Sal McCormick 209,4591596600,Cereales,2026-01-09,McCormick,33.21,167
S211,Cafe Dos Pinos 210,2229686579,Lacteos,2028-05-16,Dos Pinos,126.88,419
S212,Cereal Bimbo 211,6294103867,Granos,2026-01-04,Bimbo,113.28,271
S213,Atun Nestle 212,2969616839,Bebidas,2026-12-08,Nestle,204.06,126
S214,Sardina Colgate 213,0137163834,Panaderia,2026-02-14,Colgate,171.78,277
S215,Mayonesa Ariel 214,6554595186,Carnes,2028-11-23,Ariel,27.37,111
S216,Ketchup Palmolive 215,9987513921,Limpieza,2028-01-18,Palmolive,107.94,137
S217,Mostaza Del Monte 216,4106184504,Cuidado Personal,2028-08-07,Del Monte,63.12,235
S218,Vinagre Maggi 217,9279744370,Aceites,2028-02-26,Maggi,16.24,451
S219,Sopa Kelloggs 218,7836939183,Condimentos,2028-10-21,Kelloggs,136.50,474
S220,Pasta Pringles 219,7700009419,Endulzantes,2027-08-20,Pringles,168.79,375
S221,Leche Coca Cola 220,1771919790,Frutas,2027-10-16,Coca Cola,92.88,263
S222,Arroz Pepsi 221,9897467522,Verduras,2027-12-08,Pepsi,128.34,155
S223,Frijol Lay's 222,9385440644,Congelados,2026-08-28,Lay's,57.25,312
S224,Pan Knorr 223,9566123957,Snacks,2028-10-12,Knorr,50.44,73
S225,Jugo McCormick 224,4011507639,Cereales,2026-04-09,McCormick,92.44,62
S226,Jabon Dos Pinos 225,0887676708,Lacteos,2027-02-17,Dos Pinos,101.11,393
S227,Shampoo Bimbo 226,0694291667,Granos,2028-03-09,Bimbo,76.23,249
S228,Aceite Nestle 227,0452474934,Bebidas,2027-07-13,Nestle,142.40,123
S229,Azucar Colgate 228,2198068046,Panaderia,2028-11-01,Colgate,72.68,52
S230,Sal Ariel 229,3677038493,Carnes,2026-11-25,Ariel,170.22,334
S231,Cafe Palmolive 230,2505918576,Limpieza,2026-07-13,Palmolive,91.07,45
S232,Cereal Del Monte 231,6426167718,Cuidado Personal,2028-06-26,Del Monte,200.74,425
S233,Atun Maggi 232,6547985705,Aceites,2027-06-23,Maggi,191.06,187
S234,Sardina Kelloggs 233,2018837990,Condimentos,2027-02-21,Kelloggs,163.65,182
S235,Mayonesa Pringles 234,9882854477,Endulzantes,2026-05-19,Pringles,188.02,439
S236,Ketchup Coca Cola 235,9188021016,Frutas,2026-11-22,Coca Cola,61.10,387
S237,Mostaza Pepsi 236,7959350010,Verduras,2027-09-14,Pepsi,70.30,365
S238,Vinagre Lay's 237,5746452923,Congelados,2027-05-12,Lay's,8.54,373
S239,Sopa Knorr 238,0295119586,Snacks,2028-02-20,Knorr,187.40,21
S240,Pasta McCormick 239,9808835494,Cereales,2027-04-06,McCormick,118.27,276
S241,Leche Dos Pinos 240,0333608773,Lacteos,2026-07-03,Dos Pinos,18.43,443
S242,Arroz Bimbo 241,9607987623,Granos,2026-10-03,Bimbo,29.63,472
S243,Frijol Nestle 242,2900548955,Bebidas,2027-01-27,Nestle,175.47,104
S244,Pan Colgate 243,6622673179,Panaderia,2028-09-22,Colgate,146.03,70
S245,Jugo Ariel 244,0732562549,Carnes,2026-06-06,Ariel,11.65,453
S246,Jabon Palmolive 245,6301892526,Limpieza,2027-09-17,Palmolive,127.88,8
S247,Shampoo Del Monte 246,0577508152,Cuidado Personal,2027-07-22,Del Monte,156.58,407
S248,Aceite Maggi 247,6382267336,Aceites,2027-07-27,Maggi,147.39,147
S249,Azucar Kelloggs 248,9368712315,Condimentos,2026-09-06,Kelloggs,151.68,339
S250,Sal Pringles 249,4718292365,Endulzantes,2028-10-18,Pringles,145.19,317
S251,Cafe Coca Cola 250,3901026896,Frutas,2026-12-17,Coca Cola,52.45,174
S252,Cereal Pepsi 251,6887493949,Verduras,2026-01-27,Pepsi,33.77,375
S253,Atun Lay's 252,6807347718,Congelados,2026-09-16,Lay's,76.79,359
S254,Sardina Knorr 253,9102623187,Snacks,2026-09-23,Knorr,21.85,231
S255,Mayonesa McCormick 254,0099071077,Cereales,2027-07-08,McCormick,18.88,17
S256,Ketchup Dos Pinos 255,3355088429,Lacteos,2027-02-23,Dos Pinos,104.58,362
S257,Mostaza Bimbo 256,0728020356,Granos,2026-01-09,Bimbo,68.23,353
S258,Vinagre Nestle 257,2700613595,Bebidas,2027-01-24,Nestle,108.95,406
S259,Sopa Colgate 258,0887162239,Panaderia,2028-03-28,Colgate,191.39,486
S260,Pasta Ariel 259,9947653744,Carnes,2027-08-15,Ariel,65.26,94
S261,Leche Palmolive 260,7580535447,Limpieza,2028-11-11,Palmolive,131.07,210
S262,Arroz Del Monte 261,0689263072,Cuidado Personal,2026-05-05,Del Monte,174.23,427
S263,Frijol Maggi 262,4990484136,Aceites,2028-02-24,Maggi,110.76,14
S264,Pan Kelloggs 263,4982090447,Condimentos,2026-01-27,Kelloggs,24.64,209
S265,Jugo Pringles 264,2919593796,Endulzantes,2027-02-20,Pringles,18.73,93
S266,Jabon Coca Cola 265,9906356502,Frutas,2026-06-13,Coca Cola,108.75,401
S267,Shampoo Pepsi 266,3852632715,Verduras,2027-06-21,Pepsi,51.04,213
S268,Aceite Lay's 267,9478408667,Congelados,2027-12-11,Lay's,92.16,414
S269,Azucar Knorr 268,5129866716,Snacks,2026-06-05,Knorr,81.42,51
S270,Sal McCormick 269,0954632742,Cereales,2028-11-07,McCormick,61.73,261
S271,Cafe Dos Pinos 270,2029682620,Lacteos,2027-11-22,Dos Pinos,40.64,32
S272,Cereal Bimbo 271,7944976294,Granos,2026-09-17,Bimbo,82.78,357
S273,Atun Nestle 272,5992041011,Bebidas,2028-07-27,Nestle,85.37,441
S274,Sardina Colgate 273,5661880831,Panaderia,2028-07-16,Colgate,152.53,488
S275,Mayonesa Ariel 274,0118482348,Carnes,2028-04-09,Ariel,165.58,417
S276,Ketchup Palmolive 275,0226321010,Limpieza,2026-05-15,Palmolive,36.57,498
S277,Mostaza Del Monte 276,8502461441,Cuidado Personal,2026-05-25,Del Monte,47.79,52
S278,Vinagre Maggi 277,6521105053,Aceites,2027-08-27,Maggi,69.76,315
S279,Sopa Kelloggs 278,3207681452,Condimentos,2028-03-07,Kelloggs,36.43,366
S280,Pasta Pringles 279,7311631525,Endulzantes,2028-11-09,Pringles,62.17,325
S281,Leche Coca Cola 280,4322933551,Frutas,2026-08-21,Coca Cola,67.78,136
S282,Arroz Pepsi 281,0701258381,Verduras,2026-01-15,Pepsi,154.00,236
S283,Frijol Lay's 282,4757766981,Congelados,2027-04-23,Lay's,18.87,327
S284,Pan Knorr 283,1849018020,Snacks,2026-01-04,Knorr,52.01,353
S285,Jugo McCormick 284,8939861276,Cereales,2028-01-07,McCormick,22.96,427
S286,Jabon Dos Pinos 285,6424458852,Lacteos,2026-06-16,Dos Pinos,58.19,135
S287,Shampoo Bimbo 286,7827887882,Granos,2028-11-10,Bimbo,37.65,295
S288,Aceite Nestle 287,8780173465,Bebidas,2028-08-22,Nestle,31.96,425
S289,Azucar Colgate 288,1085364219,Panaderia,2028-02-25,Colgate,167.84,150
S290,Sal Ariel 289,1710947127,Carnes,2027-02-01,Ariel,198.57,198
S291,Cafe Palmolive 290,8924397810,Limpieza,2027-01-27,Palmolive,117.63,96
S292,Cereal Del Monte 291,8870518955,Cuidado Personal,2027-12-19,Del Monte,64.65,426
S293,Atun Maggi 292,7851489751,Aceites,2026-08-10,Maggi,204.28,237
S294,Sardina Kelloggs 293,3071810867,Condimentos,2027-12-04,Kelloggs,44.96,84
S295,Mayonesa Pringles 294,2850599591,Endulzantes,2027-11-21,Pringles,111.68,439
S296,Ketchup Coca Cola 295,8416689989,Frutas,2026-01-21,Coca Cola,130.93,29
S297,Mostaza Pepsi 296,6676905464,Verduras,2028-09-17,Pepsi,111.58,35
S298,Vinagre Lay's 297,3464693715,Congelados,2028-02-05,Lay's,181.38,30
S299,Sopa Knorr 298,8072249372,Snacks,2028-12-02,Knorr,91.00,459
S300,Pasta McCormick 299,1036277003,Cereales,2026-09-08,McCormick,27.14,19
S301,Leche Dos Pinos 300,9193948519,Lacteos,2027-07-28,Dos Pinos,143.17,185
S302,Arroz Bimbo 301,7111036890,Granos,2027-05-09,Bimbo,23.60,453
S303,Frijol Nestle 302,1738476563,Bebidas,2028-08-19,Nestle,74.97,1
S304,Pan Colgate 303,7369177739,Panaderia,2026-03-21,Colgate,204.77,372
S305,Jugo Ariel 304,2314901149,Carnes,2026-11-19,Ariel,76.02,472
S306,Jabon Palmolive 305,7421889793,Limpieza,2026-02-23,Palmolive,175.34,175
S307,Shampoo Del Monte 306,9714308536,Cuidado Personal,2028-11-28,Del Monte,39.24,79
S308,Aceite Maggi 307,5402018815,Aceites,2027-03-18,Maggi,145.30,404
S309,Azucar Kelloggs 308,5377712525,Condimentos,2028-09-28,Kelloggs,95.66,374
S310,Sal Pringles 309,5219032170,Endulzantes,2028-11-03,Pringles,179.60,377
S311,Cafe Coca Cola 310,5698039564,Frutas,2028-05-06,Coca Cola,153.54,500
S312,Cereal Pepsi 311,3884973348,Verduras,2027-07-25,Pepsi,107.79,69
S313,Atun Lay's 312,9340103638,Congelados,2028-11-26,Lay's,64.98,62
S314,Sardina Knorr 313,4379630110,Snacks,2027-08-24,Knorr,142.22,456
S315,Mayonesa McCormick 314,3219442517,Cereales,2027-02-18,McCormick,184.31,144
